 batch,history,calc_int,stddev,batch_time
197,10486400,  1.1998945E+02,  3.0420642E-02,  9.6904001E-02
198,10488800,  1.1998723E+02,  8.6001840E-03,  1.2315420E-01
199,10491200,  1.2001797E+02,  3.1055712E-02,  1.4966247E-01
200,10493600,  1.2000156E+02,  8.1218312E-03,  1.7611174E-01
201,10496000,  1.1999591E+02,  2.9756370E-02,  2.0301799E-01
202,10498500,  1.1998571E+02,  4.1704045E-03,  8.2691670E-03
203,10501000,  1.2000367E+02,  4.5583557E-02,  4.6960050E-03
204,10503800,  1.1999983E+02,  2.1048205E-02,  3.0472960E-03
205,10506300,  1.1999136E+02,  1.3972238E-02,  3.3669575E-02
206,10508800,  1.1999051E+02,  1.8557175E-02,  2.7429031E-02
207,10511300,  1.2000538E+02,  1.1629294E-02,  3.4523418E-02
208,10513700,  1.1999963E+02,  2.2432233E-02,  7.0409523E-02
209,10516200,  1.2000712E+02,  2.1161659E-02,  4.2210673E-02
210,10518600,  1.1997929E+02,  2.9135675E-02,  8.4797795E-02
211,10521000,  1.1998659E+02,  3.2888423E-02,  1.2738573E-01
212,10523400,  1.2000417E+02,  2.2767271E-02,  1.7007839E-01
213,10525900,  1.1999002E+02,  1.4161950E-02,  2.0163679E-02
214,10528300,  1.2001802E+02,  3.3606068E-02,  5.5849240E-02
215,10531200,  1.2000103E+02,  2.7629348E-02,  4.9076890E-03
216,10533800,  1.2000491E+02,  4.5319322E-02,  2.5328103E-02
217,10536200,  1.2000246E+02,  3.4676718E-02,  6.8267116E-02
218,10538600,  1.1999380E+02,  2.5833461E-02,  1.1161210E-01
219,10541000,  1.1999864E+02,  2.8979884E-02,  1.5484111E-01
220,10543500,  1.2000099E+02,  2.2573189E-02,  9.8170390E-03
221,10546000,  1.1999986E+02,  4.0068753E-02,  1.8689542E-02
222,10548400,  1.1999298E+02,  2.0632496E-02,  4.2574575E-02
223,10550800,  1.2000262E+02,  3.0340556E-02,  6.6514496E-02
224,10553200,  1.2001923E+02,  5.6248102E-02,  9.0313339E-02
225,10555600,  1.2000591E+02,  1.9130899E-02,  1.1409734E-01
226,10558000,  1.1998062E+02,  9.8463303E-03,  1.3772353E-01
227,10560500,  1.2002331E+02,  3.4422687E-02,  3.1794350E-03
228,10562900,  1.2002177E+02,  1.8618873E-02,  4.4177144E-02
229,10565300,  1.1999816E+02,  2.7592671E-02,  8.4742476E-02
230,10567700,  1.1998422E+02,  3.1977976E-02,  1.2543646E-01
231,10570100,  1.1997433E+02,  1.9742937E-02,  1.6608494E-01
232,10572700,  1.2003105E+02,  2.6884869E-02,  1.2386690E-03
233,10575500,  1.1998151E+02,  1.2748415E-02,  3.0663340E-03
234,10578000,  1.1999050E+02,  1.2650919E-03,  3.4020511E-02
235,10580600,  1.1997206E+02,  2.9095951E-02,  2.0431010E-03
236,10583000,  1.2000983E+02,  2.2247713E-02,  3.7638423E-02
237,10585400,  1.2000186E+02,  1.8768954E-02,  7.3161239E-02
238,10587800,  1.1997949E+02,  1.9329594E-02,  1.0871367E-01
239,10590700,  1.2001321E+02,  2.1099060E-02,  1.2138170E-02
240,10593300,  1.2000744E+02,  4.0712105E-02,  3.1882876E-02
241,10595700,  1.1998709E+02,  2.0388843E-02,  7.4591400E-02
242,10598200,  1.1999826E+02,  5.7734122E-03,  1.7937706E-02
243,10600600,  1.1998601E+02,  2.1208503E-02,  5.3531042E-02
244,10603100,  1.2000575E+02,  1.5030836E-02,  1.9974396E-02
245,10605500,  1.2000034E+02,  4.0030779E-02,  4.5747095E-02
246,10607900,  1.1999511E+02,  2.0232625E-02,  7.1569216E-02
247,10610300,  1.2000588E+02,  1.4759160E-02,  9.7607389E-02
248,10612700,  1.2001435E+02,  4.1390166E-02,  1.2369999E-01
249,10615100,  1.2002719E+02,  1.2309476E-02,  1.4979080E-01
250,10617500,  1.1998778E+02,  2.2185290E-02,  1.7578594E-01
251,10619900,  1.2001623E+02,  4.2828019E-02,  2.0153015E-01
252,10622400,  1.2000496E+02,  2.6248915E-02,  3.1177863E-02
253,10624900,  1.1999419E+02,  8.1309622E-03,  3.2547173E-02
254,10627300,  1.1998771E+02,  7.4646526E-03,  7.3247849E-02
255,10629700,  1.2001301E+02,  3.6170800E-02,  1.1415320E-01
256,10632200,  1.1999344E+02,  1.6525496E-02,  5.9211790E-03
257,10634600,  1.2002287E+02,  1.9660848E-02,  4.8934979E-02
258,10637000,  1.2001452E+02,  1.9091694E-02,  9.1980168E-02
259,10639400,  1.1999964E+02,  1.0141391E-02,  1.3478966E-01
260,10641800,  1.1999632E+02,  4.4990584E-02,  1.7806516E-01
261,10644200,  1.1999663E+02,  1.2428301E-02,  2.2134688E-01
262,10646900,  1.1997598E+02,  1.1627134E-02,  4.7305790E-03
263,10650000,  1.2000065E+02,  4.2740012E-02,  1.7259793E-02
264,10652600,  1.2001817E+02,  2.8974718E-02,  3.4270909E-02
265,10655300,  1.1999507E+02,  1.1168713E-02,  1.4061949E-02
266,10657700,  1.1998146E+02,  4.9101976E-02,  3.7696992E-02
267,10660100,  1.2002450E+02,  2.7497818E-02,  6.1465664E-02
268,10662500,  1.1999421E+02,  2.2952594E-02,  8.5234391E-02
269,10664900,  1.2001724E+02,  3.4516265E-02,  1.0899181E-01
270,10667400,  1.2002804E+02,  2.3416524E-03,  2.7774240E-03
271,10669900,  1.1999592E+02,  8.5484612E-03,  1.2473327E-02
272,10672300,  1.2000771E+02,  5.4938602E-03,  4.8189068E-02
273,10674700,  1.1999197E+02,  2.9036771E-02,  8.4074596E-02
274,10677100,  1.1999226E+02,  3.0564636E-02,  1.2000809E-01
275,10679500,  1.2000273E+02,  4.2257256E-02,  1.5592600E-01
276,10681900,  1.1999590E+02,  2.2853651E-02,  1.9177667E-01
277,10684300,  1.2001331E+02,  5.7250806E-03,  2.2779759E-01
278,10686800,  1.2000085E+02,  2.3100404E-02,  2.2016181E-02
