 batch,IMC_val,history_count,variance,stdv,rel_err
164,  4.8596598E-01,4861,  6.2898734E-03,  7.9308722E-02,  7.8998085E-04
165,  5.1574154E-01,4909,  6.2530691E-03,  7.9076349E-02,  7.8998085E-04
166,  4.8637875E-01,4958,  6.2270211E-03,  7.8911476E-02,  7.8998085E-04
167,  4.8996608E-01,5007,  6.1993533E-03,  7.8735972E-02,  7.8998085E-04
168,  4.9119456E-01,5057,  6.1713291E-03,  7.8557807E-02,  7.8998085E-04
169,  4.5193671E-01,5107,  6.1703794E-03,  7.8551762E-02,  7.8998085E-04
170,  5.7453982E-01,5158,  6.1460849E-03,  7.8396970E-02,  7.8998085E-04
171,  5.5438095E-01,5209,  6.1137411E-03,  7.8190416E-02,  7.8998085E-04
172,  5.9990501E-01,5261,  6.1067268E-03,  7.8145549E-02,  7.8998085E-04
173,  4.9301074E-01,5313,  6.0793150E-03,  7.7969962E-02,  7.8998085E-04
174,  5.0635555E-01,5366,  6.0475286E-03,  7.7765858E-02,  7.8998085E-04
175,  5.0779508E-01,5419,  6.0156994E-03,  7.7560940E-02,  7.8998085E-04
176,  5.2347636E-01,5473,  5.9817300E-03,  7.7341645E-02,  7.8998085E-04
177,  5.2537919E-01,5527,  5.9480325E-03,  7.7123489E-02,  7.8998085E-04
178,  5.2721198E-01,5582,  5.9146465E-03,  7.6906739E-02,  7.8998085E-04
179,  6.0657980E-01,5637,  5.9146002E-03,  7.6906438E-02,  7.8998085E-04
180,  5.2942705E-01,5693,  5.8817428E-03,  7.6692521E-02,  7.8998085E-04
181,  4.8549544E-01,5749,  5.8600996E-03,  7.6551287E-02,  7.8998085E-04
182,  4.6729181E-01,5806,  5.8491791E-03,  7.6479926E-02,  7.8998085E-04
183,  4.9560979E-01,5864,  5.8234034E-03,  7.6311227E-02,  7.8998085E-04
184,  5.1186679E-01,5922,  5.7933721E-03,  7.6114204E-02,  7.8998085E-04
185,  5.8147704E-01,5981,  5.7768210E-03,  7.6005401E-02,  7.8998085E-04
186,  4.8762873E-01,6040,  5.7550734E-03,  7.5862200E-02,  7.8998085E-04
187,  4.6353551E-01,6100,  5.7471841E-03,  7.5810185E-02,  7.8998085E-04
188,  5.3051958E-01,6161,  5.7166300E-03,  7.5608399E-02,  7.8998085E-04
189,  4.8834527E-01,6222,  5.6949922E-03,  7.5465172E-02,  7.8998085E-04
190,  5.2144250E-01,6284,  5.6652849E-03,  7.5268087E-02,  7.8998085E-04
191,  5.3440029E-01,6346,  5.6358027E-03,  7.5071984E-02,  7.8998085E-04
192,  5.6392572E-01,6409,  5.6129267E-03,  7.4919468E-02,  7.8998085E-04
193,  5.3006902E-01,6473,  5.5838531E-03,  7.4725184E-02,  7.8998085E-04
194,  4.6066366E-01,6537,  5.5788496E-03,  7.4691697E-02,  7.8998085E-04
195,  4.9856405E-01,6602,  5.5547844E-03,  7.4530426E-02,  7.8998085E-04
196,  5.1846718E-01,6668,  5.5269300E-03,  7.4343325E-02,  7.8998085E-04
197,  5.6193191E-01,6734,  5.5046191E-03,  7.4193121E-02,  7.8998085E-04
198,  5.7210884E-01,6801,  5.4864282E-03,  7.4070427E-02,  7.8998085E-04
199,  4.9562677E-01,6869,  5.4642935E-03,  7.3920860E-02,  7.8998085E-04
200,  5.8206914E-01,6937,  5.4512848E-03,  7.3832817E-02,  7.8998085E-04
201,  6.0172754E-01,7006,  5.4505642E-03,  7.3827936E-02,  7.8998085E-04
202,  5.3695484E-01,7076,  5.4238879E-03,  7.3647050E-02,  7.8998085E-04
203,  5.7048473E-01,7146,  5.4055635E-03,  7.3522538E-02,  7.8998085E-04
204,  5.5962225E-01,7217,  5.3835487E-03,  7.3372670E-02,  7.8998085E-04
205,  5.4206719E-01,7289,  5.3580596E-03,  7.3198768E-02,  7.8998085E-04
206,  6.0051330E-01,7361,  5.3563994E-03,  7.3187426E-02,  7.8998085E-04
207,  5.4619128E-01,7434,  5.3318051E-03,  7.3019210E-02,  7.8998085E-04
208,  5.7025010E-01,7508,  5.3139458E-03,  7.2896816E-02,  7.8998085E-04
209,  5.7826664E-01,7583,  5.2995521E-03,  7.2798023E-02,  7.8998085E-04
210,  5.4930139E-01,7658,  5.2760157E-03,  7.2636187E-02,  7.8998085E-04
211,  4.9331025E-01,7734,  5.2575187E-03,  7.2508749E-02,  7.8998085E-04
212,  4.9367558E-01,7811,  5.2390090E-03,  7.2380999E-02,  7.8998085E-04
213,  5.6600515E-01,7889,  5.2204348E-03,  7.2252577E-02,  7.8998085E-04
214,  5.5706032E-01,7967,  5.1993773E-03,  7.2106708E-02,  7.8998085E-04
215,  5.1076193E-01,8046,  5.1769795E-03,  7.1951230E-02,  7.8998085E-04
216,  5.7360000E-01,8126,  5.1616486E-03,  7.1844614E-02,  7.8998085E-04
217,  5.3684366E-01,8207,  5.1380463E-03,  7.1680167E-02,  7.8998085E-04
218,  5.6128860E-01,8289,  5.1187950E-03,  7.1545755E-02,  7.8998085E-04
219,  4.9065151E-01,8371,  5.1027041E-03,  7.1433214E-02,  7.8998085E-04
220,  5.4787327E-01,8454,  5.0808763E-03,  7.1280266E-02,  7.8998085E-04
221,  5.4066589E-01,8538,  5.0583446E-03,  7.1122040E-02,  7.8998085E-04
222,  4.8896343E-01,8623,  5.0433408E-03,  7.1016483E-02,  7.8998085E-04
223,  5.1040597E-01,8709,  5.0225155E-03,  7.0869708E-02,  7.8998085E-04
224,  5.3037194E-01,8796,  5.0000935E-03,  7.0711340E-02,  7.8998085E-04
225,  5.7697009E-01,8883,  4.9874904E-03,  7.0622166E-02,  7.8998085E-04
226,  5.7280919E-01,8971,  4.9732886E-03,  7.0521547E-02,  7.8998085E-04
227,  5.5085992E-01,9060,  4.9531557E-03,  7.0378659E-02,  7.8998085E-04
228,  5.5058544E-01,9150,  4.9331362E-03,  7.0236288E-02,  7.8998085E-04
229,  4.9803667E-01,9241,  4.9162934E-03,  7.0116285E-02,  7.8998085E-04
230,  5.1838109E-01,9333,  4.8955826E-03,  6.9968440E-02,  7.8998085E-04
231,  5.4626074E-01,9426,  4.8754312E-03,  6.9824288E-02,  7.8998085E-04
232,  6.3217985E-01,9520,  4.8985416E-03,  6.9989582E-02,  7.8998085E-04
233,  5.6534895E-01,9615,  4.8824955E-03,  6.9874856E-02,  7.8998085E-04
234,  5.3076830E-01,9711,  4.8616316E-03,  6.9725401E-02,  7.8998085E-04
235,  6.0742701E-01,9808,  4.8654587E-03,  6.9752840E-02,  7.8998085E-04
236,  5.0825885E-01,9906,  4.8471583E-03,  6.9621536E-02,  7.8998085E-04
237,  4.5691308E-01,10005,  4.8501359E-03,  6.9642917E-02,  7.8998085E-04
238,  5.0460366E-01,10105,  4.8327331E-03,  6.9517862E-02,  7.8998085E-04
239,  5.9637191E-01,10206,  4.8302307E-03,  6.9499861E-02,  7.8998085E-04
240,  5.2722714E-01,10308,  4.8101782E-03,  6.9355448E-02,  7.8998085E-04
241,  5.3521687E-01,10411,  4.7902786E-03,  6.9211839E-02,  7.8998085E-04
242,  4.7934578E-01,10515,  4.7816485E-03,  6.9149465E-02,  7.8998085E-04
243,  5.1103872E-01,10620,  4.7636395E-03,  6.9019124E-02,  7.8998085E-04
244,  5.3054473E-01,10726,  4.7441178E-03,  6.8877557E-02,  7.8998085E-04
245,  4.6523079E-01,10833,  4.7424078E-03,  6.8865142E-02,  7.8998085E-04
246,  5.4628988E-01,10941,  4.7240933E-03,  6.8732040E-02,  7.8998085E-04
247,  5.3879791E-01,11050,  4.7052174E-03,  6.8594587E-02,  7.8998085E-04
248,  5.8585827E-01,11160,  4.6983495E-03,  6.8544508E-02,  7.8998085E-04
249,  5.3287038E-01,11271,  4.6794921E-03,  6.8406813E-02,  7.8998085E-04
250,  5.3583619E-01,11383,  4.6608603E-03,  6.8270494E-02,  7.8998085E-04
251,  4.7409112E-01,11496,  4.6552348E-03,  6.8229281E-02,  7.8998085E-04
252,  5.3084203E-01,11610,  4.6367617E-03,  6.8093772E-02,  7.8998085E-04
253,  4.8319242E-01,11726,  4.6274236E-03,  6.8025169E-02,  7.8998085E-04
254,  4.7756406E-01,11843,  4.6203138E-03,  6.7972890E-02,  7.8998085E-04
255,  5.0863618E-01,11961,  4.6040754E-03,  6.7853337E-02,  7.8998085E-04
256,  5.2630465E-01,12080,  4.5861589E-03,  6.7721185E-02,  7.8998085E-04
257,  4.8767522E-01,12200,  4.5754139E-03,  6.7641806E-02,  7.8998085E-04
258,  5.7755023E-01,12322,  4.5662966E-03,  6.7574378E-02,  7.8998085E-04
259,  4.7782732E-01,12445,  4.5593333E-03,  6.7522835E-02,  7.8998085E-04
260,  5.1556550E-01,12569,  4.5426279E-03,  6.7399020E-02,  7.8998085E-04
261,  5.4532985E-01,12694,  4.5260932E-03,  6.7276246E-02,  7.8998085E-04
262,  5.3063709E-01,12820,  4.5088185E-03,  6.7147736E-02,  7.8998085E-04
263,  4.6302734E-01,12948,  4.5088122E-03,  6.7147689E-02,  7.8998085E-04
264,  5.1563418E-01,13077,  4.4925159E-03,  6.7026233E-02,  7.8998085E-04
265,  5.6877038E-01,13207,  4.4812196E-03,  6.6941912E-02,  7.8998085E-04
266,  5.3547456E-01,13339,  4.4644800E-03,  6.6816764E-02,  7.8998085E-04
267,  5.2329860E-01,13472,  4.4479341E-03,  6.6692834E-02,  7.8998085E-04
268,  5.6073685E-01,13606,  4.4348217E-03,  6.6594457E-02,  7.8998085E-04
269,  4.7847474E-01,13742,  4.4282581E-03,  6.6545159E-02,  7.8998085E-04
270,  5.0792480E-01,13879,  4.4136624E-03,  6.6435400E-02,  7.8998085E-04
271,  5.1977768E-01,14017,  4.3977571E-03,  6.6315587E-02,  7.8998085E-04
272,  5.4724352E-01,14157,  4.3826876E-03,  6.6201870E-02,  7.8998085E-04
273,  4.9555383E-01,14298,  4.3709610E-03,  6.6113244E-02,  7.8998085E-04
274,  5.1481833E-01,14440,  4.3558314E-03,  6.5998723E-02,  7.8998085E-04
