 rel_batch,history,calc_int,stddev,batch_time,thread_num
32,27194,  8.2276393E-01,  5.8872345E-04,  0.0000000E+00,0
33,124941,  8.2241409E-01,  2.0841465E-04,  0.0000000E+00,0
34,474449,  8.2233115E-01,  1.5485127E-04,  0.0000000E+00,0
35,1801708,  8.2248329E-01,  4.5004089E-05,  0.0000000E+00,0
36,8278784,  8.2248839E-01,  2.1770650E-05,  0.0000000E+00,0
37,66,  8.3457031E-01,  1.4750596E-02,  0.0000000E+00,0
38,665,  8.2192884E-01,  4.1697324E-03,  0.0000000E+00,0
39,1719,  8.2198391E-01,  3.0602823E-03,  0.0000000E+00,0
40,7165,  8.2126221E-01,  6.7373734E-04,  0.0000000E+00,0
41,29913,  8.2315798E-01,  4.2427508E-04,  0.0000000E+00,0
42,137435,  8.2238832E-01,  2.2550185E-04,  0.0000000E+00,0
43,521893,  8.2234720E-01,  2.1249212E-04,  0.0000000E+00,0
44,2180065,  8.2251258E-01,  8.0353495E-05,  0.0000000E+00,0
45,9106663,  8.2249965E-01,  4.9831544E-05,  0.0000000E+00,0
46,28580620,  8.2246383E-01,  1.4859837E-05,  0.0000000E+00,0
47,74130776,  8.2246612E-01,  1.2408783E-05,  0.0000000E+00,0
